ts_created,ts_closed,trade_id,exchange,market,symbol,symbol_raw,setup,regime,side,status,leverage,entry,sl,tp1,tp2,qty,filled_entry,filled_qty,tp1_hit,tp1_qty_closed,pnl_usdt,pnl_pct_equity,close_reason
2026-01-14T16:15:45+01:00,2026-01-14T16:45:46+01:00,1768403745-ETHUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,ETH/USDT:USDT,ETHUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CANCELED,5,3294.0,3289.0,3317.0,3340.0,1.0,0.0,0.0,False,0.0,0.0,0.0,ENTRY_TIMEOUT_1800s
2026-01-16T11:09:46+01:00,2026-01-16T11:37:47+01:00,1768558186-BTCUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,BTC/USDT:USDT,BTCUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CLOSED,5,95499.4518,95332.3223,95618.8,95738.1482,0.029917,95499.4518,0.029917,False,0.0,-5.2190745005998584,-0.5219074500599858,SL
2026-01-16T11:07:17+01:00,2026-01-16T11:39:51+01:00,1768558037-ETHUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,ETH/USDT:USDT,ETHUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CLOSED,5,3301.8315,3296.0528,3309.475,3317.1185,0.865247,3301.8315,0.865247,False,0.0,-6.127246630499808,-0.6127246630499807,SL
2026-01-16T13:42:54+01:00,2026-01-16T14:08:38+01:00,1768567374-ZECUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,ZEC/USDT:USDT,ZECUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CLOSED,5,408.3373,406.669,411.345,414.3527,2.997063,408.3373,2.997063,False,0.0,-5.146856289900068,-0.5146856289900068,SL
2026-01-16T14:41:26+01:00,2026-01-16T15:11:28+01:00,1768570886-BTCUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,BTC/USDT:USDT,BTCUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CANCELED,5,95277.198,95110.4531,95374.2,95471.202,0.029986,0.0,0.0,False,0.0,0.0,0.0,ENTRY_TIMEOUT_1800s
2026-01-16T14:41:26+01:00,2026-01-16T15:11:28+01:00,1768570886-SOLUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,SOL/USDT:USDT,SOLUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CANCELED,5,142.6941,142.09,143.195,143.6959,8.276775,0.0,0.0,False,0.0,0.0,0.0,ENTRY_TIMEOUT_1800s
2026-01-16T14:24:26+01:00,2026-01-16T15:18:21+01:00,1768569866-ZECUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,ZEC/USDT:USDT,ZECUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CLOSED,5,406.8523,405.2215,410.61,414.3677,3.06598,406.8523,3.06598,False,0.0,-8.683775154000099,-0.8683775154000098,SL
2026-01-16T15:25:27+01:00,2026-01-16T15:59:58+01:00,1768573527-BTCUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,BTC/USDT:USDT,BTCUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CLOSED,5,95304.7481,95137.8779,95387.95,95471.1519,0.029963,95304.7481,0.029963,True,0.0149815,-3.7040904804498678,-0.3704090480449868,SL
2026-01-17T00:46:07+01:00,2026-01-17T00:57:11+01:00,1768607167-ZECUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,ZEC/USDT:USDT,ZECUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CLOSED,5,411.9795,410.5808,414.455,416.9305,3.574748,411.9795,3.574748,False,0.0,-5.110102265999863,-0.5110102265999864,SL
2026-01-17T01:04:07+01:00,2026-01-17T01:37:59+01:00,1768608247-ZECUSDTUSDT-MEAN_REVERT_LOWE,mexc,futures,ZEC/USDT:USDT,ZECUSDT,MEAN_REVERT_LOWER_TOUCH_LONG,RANGE_CHOP,LONG,CLOSED,5,410.6479,409.2282,413.785,416.9221,3.521871,410.6479,3.521871,False,0.0,-5.310629280900023,-0.5310629280900023,SL
