2026-01-13 15:11:58,244 | INFO | Starting btc-alerts | symbol=BTCUSDT interval=30s | telegram=off | setups=on
2026-01-13 15:23:47,176 | INFO | Starting btc-alerts | symbol=BTCUSDT interval=30s | telegram=on | setups=on
2026-01-13 15:23:48,237 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.27%, funding +0.000063, width~0.79% |  | Funding: +0.000063 | OIΔ(15m): +92.77 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:24:18,171 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.24%, funding +0.000063, width~0.79% |  | Funding: +0.000063 | OIΔ(15m): +92.77 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:24:49,073 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.26%, funding +0.000063, width~0.79% |  | Funding: +0.000063 | OIΔ(15m): +92.77 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:25:20,001 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.22%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:25:50,917 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.25%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:26:21,830 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.26%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:26:52,737 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.25%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:27:23,643 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.29%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:27:54,547 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.32%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:28:25,471 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.39%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:28:56,384 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.50%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:29:27,285 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.43%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:29:58,197 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.50%, funding +0.000062, width~0.78% |  | Funding: +0.000062 | OIΔ(15m): +260.99 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:30:29,125 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.37%, funding +0.000061, width~0.79% |  | Funding: +0.000061 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
